,Filename,Label,ClassName
5818,runway/runway_000259.png,16,runway
1327,intersection/intersection_000348.png,10,intersection
2529,agricultural/agricultural_000025.png,0,agricultural
3865,chaparral/chaparral_000195.png,5,chaparral
2024,airplane/airplane_000260.png,1,airplane
4594,storagetanks/storagetanks_000305.png,18,storagetanks
3062,tenniscourt/tenniscourt_000126.png,19,tenniscourt
3754,overpass/overpass_000322.png,13,overpass
3317,harbor/harbor_000221.png,20,harbor
3567,overpass/overpass_000479.png,13,overpass
635,buildings/buildings_000286.png,4,buildings
6789,mediumresidential/mediumresidential_000462.png,11,mediumresidential
3086,tenniscourt/tenniscourt_000102.png,19,tenniscourt
2594,agricultural/agricultural_000066.png,0,agricultural
1804,airplane/airplane_000259.png,1,airplane
5360,baseballdiamond/baseballdiamond_000125.png,2,baseballdiamond
5359,baseballdiamond/baseballdiamond_000209.png,2,baseballdiamond
4517,golfcourse/golfcourse_000284.png,9,golfcourse
402,buildings/buildings_000306.png,4,buildings
4493,golfcourse/golfcourse_000017.png,9,golfcourse
1203,intersection/intersection_000461.png,10,intersection
1412,freeway/freeway_000410.png,8,freeway
2589,agricultural/agricultural_000377.png,0,agricultural
4040,chaparral/chaparral_000206.png,5,chaparral
4836,storagetanks/storagetanks_000481.png,18,storagetanks
4939,sparseresidential/sparseresidential_000161.png,17,sparseresidential
3798,overpass/overpass_000224.png,13,overpass
2382,river/river_000354.png,15,river
969,mobilehomepark/mobilehomepark_000263.png,12,mobilehomepark
6907,mediumresidential/mediumresidential_000398.png,11,mediumresidential
5856,runway/runway_000051.png,16,runway
2527,agricultural/agricultural_000213.png,0,agricultural
4113,chaparral/chaparral_000427.png,5,chaparral
2246,river/river_000227.png,15,river
6501,forest/forest_000448.png,7,forest
4195,chaparral/chaparral_000377.png,5,chaparral
89,beach/beach_000304.png,3,beach
1082,intersection/intersection_000175.png,10,intersection
4504,golfcourse/golfcourse_000135.png,9,golfcourse
4105,chaparral/chaparral_000004.png,5,chaparral
5082,sparseresidential/sparseresidential_000459.png,17,sparseresidential
683,buildings/buildings_000459.png,4,buildings
483,buildings/buildings_000168.png,4,buildings
1228,intersection/intersection_000068.png,10,intersection
3444,harbor/harbor_000333.png,20,harbor
4783,storagetanks/storagetanks_000037.png,18,storagetanks
2633,agricultural/agricultural_000032.png,0,agricultural
3138,tenniscourt/tenniscourt_000234.png,19,tenniscourt
5611,runway/runway_000292.png,16,runway
6914,mediumresidential/mediumresidential_000498.png,11,mediumresidential
6054,parkinglot/parkinglot_000073.png,14,parkinglot
945,mobilehomepark/mobilehomepark_000410.png,12,mobilehomepark
2283,river/river_000076.png,15,river
1198,intersection/intersection_000370.png,10,intersection
1761,airplane/airplane_000134.png,1,airplane
4765,storagetanks/storagetanks_000098.png,18,storagetanks
5647,runway/runway_000103.png,16,runway
2997,tenniscourt/tenniscourt_000257.png,19,tenniscourt
4052,chaparral/chaparral_000380.png,5,chaparral
3239,harbor/harbor_000272.png,20,harbor
5662,runway/runway_000079.png,16,runway
326,beach/beach_000493.png,3,beach
4944,sparseresidential/sparseresidential_000028.png,17,sparseresidential
248,beach/beach_000169.png,3,beach
1195,intersection/intersection_000089.png,10,intersection
182,beach/beach_000251.png,3,beach
6016,parkinglot/parkinglot_000122.png,14,parkinglot
4333,golfcourse/golfcourse_000019.png,9,golfcourse
3027,tenniscourt/tenniscourt_000130.png,19,tenniscourt
1378,intersection/intersection_000203.png,10,intersection
1532,freeway/freeway_000435.png,8,freeway
6681,mediumresidential/mediumresidential_000097.png,11,mediumresidential
4614,storagetanks/storagetanks_000207.png,18,storagetanks
6796,mediumresidential/mediumresidential_000360.png,11,mediumresidential
2276,river/river_000194.png,15,river
1043,mobilehomepark/mobilehomepark_000498.png,12,mobilehomepark
739,mobilehomepark/mobilehomepark_000442.png,12,mobilehomepark
3117,tenniscourt/tenniscourt_000171.png,19,tenniscourt
4075,chaparral/chaparral_000251.png,5,chaparral
6957,mediumresidential/mediumresidential_000036.png,11,mediumresidential
4948,sparseresidential/sparseresidential_000365.png,17,sparseresidential
6,beach/beach_000460.png,3,beach
6119,parkinglot/parkinglot_000310.png,14,parkinglot
7122,denseresidential/denseresidential_000278.png,6,denseresidential
586,buildings/buildings_000213.png,4,buildings
6272,parkinglot/parkinglot_000383.png,14,parkinglot
2112,river/river_000402.png,15,river
4078,chaparral/chaparral_000179.png,5,chaparral
2269,river/river_000091.png,15,river
5495,baseballdiamond/baseballdiamond_000180.png,2,baseballdiamond
4073,chaparral/chaparral_000450.png,5,chaparral
4437,golfcourse/golfcourse_000167.png,9,golfcourse
2785,agricultural/agricultural_000218.png,0,agricultural
1811,airplane/airplane_000172.png,1,airplane
1162,intersection/intersection_000153.png,10,intersection
4069,chaparral/chaparral_000054.png,5,chaparral
5356,baseballdiamond/baseballdiamond_000452.png,2,baseballdiamond
5468,baseballdiamond/baseballdiamond_000475.png,2,baseballdiamond
6430,forest/forest_000347.png,7,forest
1133,intersection/intersection_000433.png,10,intersection
160,beach/beach_000212.png,3,beach
5791,runway/runway_000313.png,16,runway
5580,baseballdiamond/baseballdiamond_000218.png,2,baseballdiamond
1236,intersection/intersection_000266.png,10,intersection
3584,overpass/overpass_000396.png,13,overpass
886,mobilehomepark/mobilehomepark_000335.png,12,mobilehomepark
5678,runway/runway_000005.png,16,runway
2387,river/river_000258.png,15,river
7222,denseresidential/denseresidential_000116.png,6,denseresidential
1921,airplane/airplane_000459.png,1,airplane
6174,parkinglot/parkinglot_000049.png,14,parkinglot
5553,baseballdiamond/baseballdiamond_000459.png,2,baseballdiamond
238,beach/beach_000002.png,3,beach
3911,chaparral/chaparral_000123.png,5,chaparral
6284,parkinglot/parkinglot_000330.png,14,parkinglot
5074,sparseresidential/sparseresidential_000285.png,17,sparseresidential
1317,intersection/intersection_000228.png,10,intersection
5456,baseballdiamond/baseballdiamond_000421.png,2,baseballdiamond
1725,freeway/freeway_000318.png,8,freeway
1039,mobilehomepark/mobilehomepark_000232.png,12,mobilehomepark
6181,parkinglot/parkinglot_000279.png,14,parkinglot
3908,chaparral/chaparral_000413.png,5,chaparral
972,mobilehomepark/mobilehomepark_000248.png,12,mobilehomepark
941,mobilehomepark/mobilehomepark_000423.png,12,mobilehomepark
2484,agricultural/agricultural_000484.png,0,agricultural
2699,agricultural/agricultural_000488.png,0,agricultural
118,beach/beach_000027.png,3,beach
5127,sparseresidential/sparseresidential_000423.png,17,sparseresidential
5039,sparseresidential/sparseresidential_000249.png,17,sparseresidential
4237,golfcourse/golfcourse_000059.png,9,golfcourse
3510,overpass/overpass_000447.png,13,overpass
1307,intersection/intersection_000392.png,10,intersection
3371,harbor/harbor_000048.png,20,harbor
3822,overpass/overpass_000247.png,13,overpass
1563,freeway/freeway_000212.png,8,freeway
5837,runway/runway_000092.png,16,runway
4474,golfcourse/golfcourse_000159.png,9,golfcourse
3898,chaparral/chaparral_000383.png,5,chaparral
6611,forest/forest_000271.png,7,forest
6295,parkinglot/parkinglot_000345.png,14,parkinglot
148,beach/beach_000179.png,3,beach
1371,intersection/intersection_000321.png,10,intersection
7155,denseresidential/denseresidential_000383.png,6,denseresidential
3201,harbor/harbor_000207.png,20,harbor
4931,sparseresidential/sparseresidential_000316.png,17,sparseresidential
3969,chaparral/chaparral_000292.png,5,chaparral
2613,agricultural/agricultural_000429.png,0,agricultural
896,mobilehomepark/mobilehomepark_000412.png,12,mobilehomepark
5738,runway/runway_000281.png,16,runway
5907,runway/runway_000265.png,16,runway
638,buildings/buildings_000179.png,4,buildings
4422,golfcourse/golfcourse_000139.png,9,golfcourse
4119,chaparral/chaparral_000275.png,5,chaparral
748,mobilehomepark/mobilehomepark_000078.png,12,mobilehomepark
884,mobilehomepark/mobilehomepark_000342.png,12,mobilehomepark
2256,river/river_000297.png,15,river
3538,overpass/overpass_000151.png,13,overpass
5569,baseballdiamond/baseballdiamond_000210.png,2,baseballdiamond
3516,overpass/overpass_000064.png,13,overpass
373,buildings/buildings_000224.png,4,buildings
19,beach/beach_000183.png,3,beach
4800,storagetanks/storagetanks_000009.png,18,storagetanks
3163,harbor/harbor_000202.png,20,harbor
6484,forest/forest_000261.png,7,forest
1481,freeway/freeway_000098.png,8,freeway
6535,forest/forest_000434.png,7,forest
4804,storagetanks/storagetanks_000102.png,18,storagetanks
5067,sparseresidential/sparseresidential_000444.png,17,sparseresidential
93,beach/beach_000449.png,3,beach
5988,parkinglot/parkinglot_000078.png,14,parkinglot
2085,airplane/airplane_000299.png,1,airplane
4320,golfcourse/golfcourse_000270.png,9,golfcourse
54,beach/beach_000446.png,3,beach
4580,storagetanks/storagetanks_000486.png,18,storagetanks
5802,runway/runway_000434.png,16,runway
6999,mediumresidential/mediumresidential_000327.png,11,mediumresidential
6564,forest/forest_000128.png,7,forest
1987,airplane/airplane_000485.png,1,airplane
2259,river/river_000481.png,15,river
3329,harbor/harbor_000313.png,20,harbor
174,beach/beach_000274.png,3,beach
5896,runway/runway_000457.png,16,runway
6331,forest/forest_000105.png,7,forest
3947,chaparral/chaparral_000414.png,5,chaparral
6748,mediumresidential/mediumresidential_000008.png,11,mediumresidential
7042,denseresidential/denseresidential_000307.png,6,denseresidential
5857,runway/runway_000151.png,16,runway
5314,baseballdiamond/baseballdiamond_000221.png,2,baseballdiamond
2634,agricultural/agricultural_000370.png,0,agricultural
2841,tenniscourt/tenniscourt_000103.png,19,tenniscourt
6090,parkinglot/parkinglot_000254.png,14,parkinglot
5533,baseballdiamond/baseballdiamond_000370.png,2,baseballdiamond
3336,harbor/harbor_000364.png,20,harbor
2911,tenniscourt/tenniscourt_000480.png,19,tenniscourt
